City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
466,waingapu,-9.6567,120.2641,24.510000000000048,80,100,2.69,ID,1724769394
467,jamaame,0.0697,42.745,26.170000000000016,78,90,5.48,SO,1724769395
468,al bayda',32.7627,21.7551,26.180000000000007,60,0,6.26,LY,1724769396
469,tazacorte,28.629,-17.9293,25.640000000000043,85,100,4.12,ES,1724769397
470,al ghayzah,16.2079,52.176,27.480000000000018,80,92,2.64,YE,1724769399
471,tindouf,27.6711,-8.1474,44.25,7,0,6.69,DZ,1724769400
472,iguape,-24.7081,-47.5553,16.210000000000036,63,28,2.6,BR,1724769401
473,kaa-khem,51.6833,94.7333,18.83000000000004,34,99,2.39,RU,1724769402
474,canutama,-6.5339,-64.3831,34.879999999999995,28,1,1.8,BR,1724769403
475,al jawf,29.5,38.75,37.98000000000002,16,1,5.15,SA,1724769404
476,bintulu,3.1667,113.0333,25.230000000000018,88,40,1.54,MY,1724769405
477,tofol,5.3248,163.0078,27.090000000000032,79,98,1.39,FM,1724769406
478,arauca,7.0847,-70.7591,27.0,89,75,2.57,CO,1724769407
479,bhamo,24.2667,97.2333,24.840000000000032,94,100,0.6,MM,1724769408
480,vianopolis,-16.7419,-48.5164,28.620000000000005,27,0,3.8,BR,1724769410
481,suleja,9.1758,7.1808,29.55000000000001,90,88,3.62,NG,1724769411
482,loa janan,-0.583,117.095,23.57000000000005,96,51,1.28,ID,1724769412
483,lautoka,-17.6167,177.4667,19.920000000000016,83,20,2.57,FJ,1724769413
484,mokhotlong,-29.2894,29.0675,16.80000000000001,14,0,7.63,LS,1724769414
485,shevchenkove,49.6959,37.1735,31.189999999999998,23,95,5.14,UA,1724769415
486,jaru,-10.4389,-62.4664,33.860000000000014,21,0,1.65,BR,1724769416
487,markala,13.7021,-6.0659,36.47000000000003,41,92,4.89,ML,1724769417
488,magadan,59.5667,150.8,10.110000000000014,98,100,2.39,RU,1724769418
489,mabaruma,8.2,-59.7833,31.640000000000043,65,0,1.84,GY,1724769419
490,hobyo,5.3505,48.5268,25.82000000000005,83,3,12.22,SO,1724769421
491,port hedland,-20.3167,118.5667,22.03000000000003,73,6,4.12,AU,1724769422
492,sinabang,2.4803,96.3801,23.720000000000027,91,100,3.48,ID,1724769423
493,minot,48.2325,-101.2963,16.120000000000005,82,100,0.0,US,1724769424
494,kirensk,57.7853,108.1119,13.480000000000018,89,100,5.01,RU,1724769193
495,el playon,7.4713,-73.2031,27.120000000000005,60,48,2.04,CO,1724769426
496,revda,56.801,59.9303,15.430000000000007,83,11,2.24,RU,1724769427
497,funafuti,-8.5243,179.1942,28.0,83,40,1.03,TV,1724769428
498,gerash,27.6652,54.1371,42.08000000000004,21,0,1.53,IR,1724769429
499,ta`u,-14.2336,-169.5144,25.52000000000004,83,15,4.62,AS,1724769431
500,nuku'alofa,-21.1333,-175.2,17.189999999999998,94,20,0.51,TO,1724769432
501,chilaw,7.5758,79.7953,28.129999999999995,80,100,7.66,LK,1724769433
502,pangai,-19.8,-174.35,22.28000000000003,74,2,2.47,TO,1724769434
503,kushiro,42.975,144.3747,21.53000000000003,100,100,5.66,JP,1724769435
504,port saint john's,-31.6229,29.5448,28.310000000000002,36,0,2.88,ZA,1724769436
505,merizo village,13.2658,144.6691,28.32000000000005,82,81,3.5,GU,1724769438
506,kosamba,21.4833,72.95,25.82000000000005,88,100,7.69,IN,1724769439
507,martapura,-3.4167,114.85,23.910000000000025,90,67,0.15,ID,1724769440
508,lihue,21.9789,-159.3672,25.77000000000004,73,75,6.69,US,1724769180
509,alice springs,-23.7,133.8833,18.75,42,12,3.09,AU,1724769443
510,itupiranga,-5.1347,-49.3267,36.700000000000045,27,40,0.71,BR,1724769444
511,derzhavinsk,51.1,66.3167,18.629999999999995,47,64,5.65,KZ,1724769445
512,fortaleza,-3.7227,-38.5247,30.610000000000014,76,20,8.75,BR,1724769421
513,bakanas,44.8081,76.2772,25.52000000000004,17,100,4.6,KZ,1724769447
514,bafoulabe,13.8065,-10.8321,31.430000000000007,71,89,5.67,ML,1724769448
515,klyavlino,54.2649,52.0267,18.960000000000036,64,0,1.42,RU,1724769449
516,tosontsengel,48.7567,98.2839,14.439999999999998,39,100,0.92,MN,1724769450
517,tahe,52.3333,124.7333,13.670000000000016,74,15,1.54,CN,1724769452
518,poronaysk,49.2167,143.1167,15.0,93,100,1.14,RU,1724769453
519,kangding,30.0513,101.9603,18.33000000000004,97,94,2.09,CN,1724769454
520,noumea,-22.2763,166.4572,19.260000000000048,79,1,3.96,NC,1724769456
521,tibanbang,6.6315,126.1055,27.100000000000023,84,100,2.33,PH,1724769457
522,nemuro,43.3236,145.575,19.75,98,100,11.75,JP,1724769458
523,leon,21.1167,-101.6667,18.03000000000003,61,60,1.57,MX,1724769316
524,khomeyn,33.6423,50.0789,29.870000000000005,17,73,6.45,IR,1724769460
525,pinhao,-25.6956,-51.6597,19.629999999999995,23,0,0.81,BR,1724769303
526,sisimiut,66.9395,-53.6735,6.800000000000011,83,100,1.67,GL,1724769463
527,manacapuru,-3.2997,-60.6206,31.560000000000002,42,13,0.76,BR,1724769464
528,wenling,28.3669,121.36,27.80000000000001,84,80,1.26,CN,1724769465
529,sabang,5.8933,95.3214,28.480000000000018,69,100,9.48,ID,1724769466
530,kentau,43.5206,68.5094,25.05000000000001,20,2,4.95,KZ,1724769467
531,torbat-e heydariyeh,35.274,59.2195,30.230000000000018,14,89,4.51,IR,1724769468
532,kenora,49.8167,-94.4337,15.54000000000002,77,75,5.14,CA,1724769469
533,elburg,52.4475,5.8431,26.170000000000016,49,71,3.68,NL,1724769470
534,arroyito,-31.4202,-63.05,17.28000000000003,32,0,4.08,AR,1724769455
535,tangalle,6.024,80.7911,26.460000000000036,81,23,4.6,LK,1724769473
536,cannonvale,-20.2833,148.7,21.660000000000025,81,35,4.07,AU,1724769474
537,wucheng,29.6008,118.175,24.160000000000025,97,98,1.53,CN,1724769475
538,selfoss,63.9331,-20.9971,15.020000000000039,64,97,1.4,IS,1724769476
539,porto novo,6.4965,2.6036,26.900000000000034,72,82,6.52,BJ,1724769478
540,kotlas,61.2611,46.6556,21.05000000000001,52,58,2.2,RU,1724769480
541,muravlenko,63.7898,74.523,17.230000000000018,66,66,3.01,RU,1724769482
542,mandalgovi,45.7625,106.2708,19.720000000000027,70,27,3.97,MN,1724769483
543,karratha,-20.7377,116.8463,24.140000000000043,62,4,6.09,AU,1724769484
544,iza,48.2152,23.3287,20.510000000000048,72,100,1.12,UA,1724769485
545,ceeldheer,3.8488,47.1806,27.010000000000048,74,17,8.88,SO,1724769486
546,springbok,-29.6643,17.8865,9.82000000000005,70,100,10.78,ZA,1724769487
547,kuraymah,18.55,31.85,35.700000000000045,37,77,2.91,SD,1724769488
